ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;2;Secretaria de Urbanismo e Licenciamento;comissionados;54523.799999999996;5;4;5.44
2022;2;Secretaria de Urbanismo e Licenciamento;flexiveis;23085.12;25;22;2.3
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;efetivos;342794.73;61;54;64.34
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;funcao_confianca;154603.14;24;17;29.02
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;comissionados;28689.6;2;2;5.38
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;flexiveis;6725.76;8;7;1.26
2022;3;Inativos e Pensionistas (Encargos);inativos;1066607.72;283;283;100.0
2022;3;Secretaria da Cidadania;efetivos;679579.71;139;123;52.78
2022;3;Secretaria da Cidadania;funcao_confianca;405243.8;50;47;31.47
2022;3;Secretaria da Cidadania;flexiveis;145421.38;35;32;11.29
2022;3;Secretaria da Cidadania;comissionados;57365.74;6;5;4.46
2022;3;Secretaria da Educação;efetivos;27661216.19;4680;4600;92.05
2022;3;Secretaria da Educação;flexiveis;1933315.47;2031;1977;6.43
2022;3;Secretaria da Educação;funcao_confianca;427873.09;48;40;1.42
2022;3;Secretaria da Educação;comissionados;28689.6;2;2;0.1
2022;3;Secretaria da Fazenda;efetivos;980714.23;163;134;73.64
2022;3;Secretaria da Fazenda;funcao_confianca;338174.18;45;39;25.39
2022;3;Secretaria da Fazenda;flexiveis;12872.96;16;16;0.97
2022;3;Secretaria da Habitação e Regularização Fundiária;efetivos;109828.8;16;15;53.99
2022;3;Secretaria da Habitação e Regularização Fundiária;funcao_confianca;69118.18;9;9;33.98
2022;3;Secretaria da Habitação e Regularização Fundiária;comissionados;17617.8;1;1;8.66
2022;3;Secretaria da Habitação e Regularização Fundiária;flexiveis;6870.4;7;7;3.38
2022;3;Secretaria da Saúde;efetivos;18074592.01;2509;2115;84.7
2022;3;Secretaria da Saúde;funcao_confianca;2146681.73;178;153;10.06
2022;3;Secretaria da Saúde;flexiveis;1002229.32;113;109;4.7
2022;3;Secretaria da Saúde;comissionados;114986.81;8;8;0.54
2022;3;Secretaria de Administração;efetivos;955180.04;173;145;63.18
2022;3;Secretaria de Administração;funcao_confianca;459253.5;64;54;30.38
2022;3;Secretaria de Administração;comissionados;75797.51999999999;6;6;5.01
2022;3;Secretaria de Administração;flexiveis;21659.84;22;22;1.43
2022;3;Secretaria de Assuntos Jurídicos e Patrimônio;efetivos;1308217.84;114;97;77.65
2022;3;Secretaria de Assuntos Jurídicos e Patrimônio;funcao_confianca;306388.24;40;31;18.18
2022;3;Secretaria de Assuntos Jurídicos e Patrimônio;comissionados;44261.18;3;3;2.63
2022;3;Secretaria de Assuntos Jurídicos e Patrimônio;flexiveis;25987.199999999997;25;25;1.54
2022;3;Secretaria de Comunicação;funcao_confianca;98500.38;14;11;40.4
2022;3;Secretaria de Comunicação;comissionados;86385.98;8;6;35.43
2022;3;Secretaria de Comunicação;efetivos;55697.35;7;5;22.84
2022;3;Secretaria de Comunicação;flexiveis;3223.6;4;4;1.32
2022;3;Secretaria de Cultura;efetivos;280325.37;56;45;68.53
2022;3;Secretaria de Cultura;comissionados;56369.1;5;4;13.78
2022;3;Secretaria de Cultura;funcao_confianca;55779.31;7;6;13.64
2022;3;Secretaria de Cultura;flexiveis;16593.44;17;16;4.06
2022;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;efetivos;269417.94;47;44;58.73
2022;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;funcao_confianca;125276.76;13;13;27.31
2022;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;comissionados;60797.82;5;5;13.25
2022;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;flexiveis;3254.3999999999996;3;3;0.71
2022;3;Secretaria de Esportes e Lazer;efetivos;453728.12;58;50;76.15
2022;3;Secretaria de Esportes e Lazer;funcao_confianca;98446.63;16;14;16.52
2022;3;Secretaria de Esportes e Lazer;comissionados;39761.399999999994;3;3;6.67
2022;3;Secretaria de Esportes e Lazer;flexiveis;3869.12;4;4;0.65
2022;3;Secretaria de Gabinete Central;efetivos;260311.55;32;28;47.95
2022;3;Secretaria de Gabinete Central;funcao_confianca;190083.35;22;20;35.02
2022;3;Secretaria de Gabinete Central;comissionados;88548.37999999999;7;7;16.31
2022;3;Secretaria de Gabinete Central;flexiveis;3905.2799999999997;4;4;0.72
2022;3;Secretaria de Governo;efetivos;255447.57;19;14;33.59
2022;3;Secretaria de Governo;comissionados;252450.15;21;20;33.19
2022;3;Secretaria de Governo;funcao_confianca;241914.6;28;25;31.81
2022;3;Secretaria de Governo;flexiveis;10703.36;10;10;1.41
2022;3;Secretaria de Mobilidade;efetivos;87141.74;8;7;54.01
2022;3;Secretaria de Mobilidade;funcao_confianca;63139.32;7;5;39.13
2022;3;Secretaria de Mobilidade;comissionados;11071.8;1;1;6.86
2022;3;Secretaria de Recursos Humanos;efetivos;375228.71;72;58;64.19
2022;3;Secretaria de Recursos Humanos;funcao_confianca;189577.34;26;23;32.43
2022;3;Secretaria de Recursos Humanos;comissionados;17617.8;1;1;3.01
2022;3;Secretaria de Recursos Humanos;flexiveis;2169.6;2;2;0.37
2022;3;Secretaria de Relações Institucionais e Metropolitanas;funcao_confianca;54090.36;5;4;38.92
2022;3;Secretaria de Relações Institucionais e Metropolitanas;comissionados;50833.2;4;4;36.57
2022;3;Secretaria de Relações Institucionais e Metropolitanas;efetivos;34063.17;5;4;24.51
2022;3;Secretaria de Segurança Urbana;efetivos;3343102.0;428;366;93.46
2022;3;Secretaria de Segurança Urbana;funcao_confianca;216236.32;19;14;6.05
2022;3;Secretaria de Segurança Urbana;comissionados;17617.8;1;1;0.49
2022;3;Secretaria de Serviços Públicos e Obras;efetivos;797554.11;147;116;73.65
2022;3;Secretaria de Serviços Públicos e Obras;funcao_confianca;204806.04;25;23;18.91
2022;3;Secretaria de Serviços Públicos e Obras;comissionados;78143.64;7;7;7.22
2022;3;Secretaria de Serviços Públicos e Obras;flexiveis;2347.44;1;1;0.22
2022;3;Secretaria de Urbanismo e Licenciamento;efetivos;862384.03;127;108;73.0
2022;3;Secretaria de Urbanismo e Licenciamento;funcao_confianca;238902.49;27;22;20.22
2022;3;Secretaria de Urbanismo e Licenciamento;comissionados;50833.2;4;4;4.3
2022;3;Secretaria de Urbanismo e Licenciamento;flexiveis;29166.399999999998;25;22;2.47
2022;3;Secretaria do Meio Ambiente, Parques e Jardins;efetivos;435791.66;65;54;66.76
2022;3;Secretaria do Meio Ambiente, Parques e Jardins;funcao_confianca;163693.67;20;17;25.08
2022;3;Secretaria do Meio Ambiente, Parques e Jardins;comissionados;41885.159999999996;2;2;6.42
2022;3;Secretaria do Meio Ambiente, Parques e Jardins;flexiveis;11390.4;12;12;1.74
2022;4;Inativos e Pensionistas (Encargos);inativos;1164963.75;278;278;100.0
2022;4;Secretaria da Cidadania;efetivos;689369.22;139;126;50.53
2022;4;Secretaria da Cidadania;funcao_confianca;416686.12;52;47;30.54
2022;4;Secretaria da Cidadania;flexiveis;191937.81999999998;39;32;14.07
2022;4;Secretaria da Cidadania;comissionados;66360.28;5;5;4.86
2022;4;Secretaria da Educação;efetivos;27740149.57;4688;4600;89.29
2022;4;Secretaria da Educação;flexiveis;2845931.07;2283;2238;9.16
2022;4;Secretaria da Educação;funcao_confianca;425870.3;46;40;1.37
2022;4;Secretaria da Educação;comissionados;56893.94;3;2;0.18
2022;4;Secretaria da Fazenda;efetivos;915860.67;149;133;71.12
2022;4;Secretaria da Fazenda;funcao_confianca;353287.49;47;39;27.44
2022;4;Secretaria da Fazenda;flexiveis;18555.44;18;18;1.44
2022;4;Secretaria da Habitação e Regularização Fundiária;efetivos;166261.65;16;15;62.54
2022;4;Secretaria da Habitação e Regularização Fundiária;funcao_confianca;73681.89;9;9;27.72
2022;4;Secretaria da Habitação e Regularização Fundiária;comissionados;17617.8;1;1;6.63
2022;4;Secretaria da Habitação e Regularização Fundiária;flexiveis;8280.64;8;8;3.11
2022;4;Secretaria da Saúde;efetivos;20195988.55;2520;2101;85.45
2022;4;Secretaria da Saúde;funcao_confianca;2143363.18;185;154;9.07
2022;4;Secretaria da Saúde;flexiveis;1173933.68;113;106;4.97
2022;4;Secretaria da Saúde;comissionados;122721.98999999999;8;7;0.52
2022;4;Secretaria de Administração;efetivos;980608.04;168;144;62.56
2022;4;Secretaria de Administração;funcao_confianca;485233.42;62;54;30.96
2022;4;Secretaria de Administração;comissionados;74812.88;6;6;4.77
2022;4;Secretaria de Administração;flexiveis;26830.719999999998;26;26;1.71
2022;4;Secretaria de Assuntos Jurídicos e Patrimônio;efetivos;1287075.89;102;96;75.16
2022;4;Secretaria de Assuntos Jurídicos e Patrimônio;funcao_confianca;337021.57;35;31;19.68
