ano;mes;regime;folha_total;num_registros;num_matriculas;percentual
2022;8;PROF/EVENT/SUBST/AUTONOMOS   A;1064649.22;1448;1423;1.46
2022;8;ESTAGIARIOS;978058.7999999999;959;937;1.34
2022;8;COMISSAO/EXTERNO             S;915576.41;75;70;1.25
2022;8;C.L.T./PROF/TMP/HORISTA;743771.72;143;142;1.02
2022;8;COMIS ESTAT/MENSAL(INCORPORAN);686907.33;63;57;0.94
2022;8;C.L.T.                     C;652135.51;221;202;0.89
2022;8;APOS/PENS-CLT/COMPL.INSS     P;602059.83;177;177;0.82
2022;8;ACUMULO DE GRATTIFICACAO-ESTAT;518818.05;32;29;0.71
2022;8;APOS/INAT-CLT/COMPL.INSS     P;489222.33999999997;96;96;0.67
2022;8;COMIS.ESTAT/HOR(INCORP)NOVOS;446533.14;14;14;0.61
2022;8;AGENTE POLITICO              S;287072.26;16;15;0.39
2022;8;COMIS.ESTAT/HOR(INCORPORANDO);199546.93;6;5;0.27
2022;8;AGENTE HONORIFICO;158939.82;33;30;0.22
2022;8;ACUM FG-ANT.COM.EST.HR.C.ORIG;103697.2;7;6;0.14
2022;8;COMIS ESTAT MENS(CARGO ORIGEM);101869.41;7;6;0.14
2022;8;COMIS. ESTAT. INT. NOVO;93349.97;12;8;0.13
2022;8;C.L.T. MENSAL/TEMP;66216.52;26;26;0.09
2022;8;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;8;PREFEITO                     S;29363.01;1;1;0.04
2022;8;VICE PREFEITO                S;17617.8;1;1;0.02
2022;8;COMIS ESTAT MENS(ORIGEM) NOVOS;7949.38;1;1;0.01
2022;9;ESTATUTARIOS MEN/ LEI 8336/07;15126868.13;3746;3345;19.94
2022;9;PROF/HOR/ESTAT - LEI 8336/2007;14762364.76;2094;1943;19.46
2022;9;ESTATUTARIO                  E;7689888.3;1067;888;10.14
2022;9;ESTATUTARIO/HORISTAS         E;6625210.16;556;473;8.73
2022;9;ESTAT. HORISTAS/NOVOS 8336/07;6337992.71;851;727;8.35
2022;9;COMIS.ESTAT/MENSAL NOVOS (INC);4998115.65;583;481;6.59
2022;9;PROF/HORISTAS/ESTATUTARIOS   E;4685563.15;441;409;6.18
2022;9;MED.PLANT.ESTAT -LEI 8336/2007;2400128.1;119;104;3.16
2022;9;PROF/EVENT/SUBST/AUTONOMOS   A;1776179.83;1533;1524;2.34
2022;9;MEDICOS PLANTONISTAS/ESTATUT.;1491273.76;57;48;1.97
2022;9;ACUMULO DE GRATIF-ESTAT NOVOS;1272467.34;100;83;1.68
2022;9;C.L.T./TEMP/HORISTA;1065720.5;81;77;1.4
2022;9;COMISSAO/EXTERNO             S;981776.1000000001;81;69;1.29
2022;9;ESTAGIARIOS;965830.1599999999;946;942;1.27
2022;9;COMIS ESTAT/MENSAL(INCORPORAN);794475.2;71;56;1.05
2022;9;C.L.T./PROF/TMP/HORISTA;744785.15;141;140;0.98
2022;9;C.L.T.                     C;651018.37;243;201;0.86
2022;9;APOS/PENS-CLT/COMPL.INSS     P;598589.36;181;176;0.79
2022;9;ACUMULO DE GRATTIFICACAO-ESTAT;512268.45;33;28;0.68
2022;9;COMIS.ESTAT/HOR(INCORP)NOVOS;496891.33;15;14;0.65
2022;9;APOS/INAT-CLT/COMPL.INSS     P;491065.19;97;96;0.65
2022;9;C.L.T. MENSAL/TEMP;317648.07;126;126;0.42
2022;9;AGENTE POLITICO              S;303026.14999999997;17;16;0.4
2022;9;COMIS.ESTAT/HOR(INCORPORANDO);229342.63;7;5;0.3
2022;9;AGENTE HONORIFICO;146879.25999999998;32;30;0.19
2022;9;COMIS ESTAT MENS(CARGO ORIGEM);117076.32;7;7;0.15
2022;9;ACUM FG-ANT.COM.EST.HR.C.ORIG;94040.72;5;5;0.12
2022;9;COMIS. ESTAT. INT. NOVO;79936.56;9;9;0.11
2022;9;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;9;COMIS ESTAT MENS(ORIGEM) NOVOS;33551.54;4;2;0.04
2022;9;PREFEITO                     S;28384.24;1;1;0.04
2022;9;VICE PREFEITO                S;17617.8;1;1;0.02
2022;10;ESTATUTARIOS MEN/ LEI 8336/07;18027628.08;5037;3379;22.98
2022;10;PROF/HOR/ESTAT - LEI 8336/2007;15081363.37;2012;1973;19.22
2022;10;ESTATUTARIO                  E;7775708.75;945;881;9.91
2022;10;ESTAT. HORISTAS/NOVOS 8336/07;6728771.26;841;727;8.58
2022;10;ESTATUTARIO/HORISTAS         E;6360600.65;521;469;8.11
2022;10;COMIS.ESTAT/MENSAL NOVOS (INC);4802556.08;547;478;6.12
2022;10;PROF/HORISTAS/ESTATUTARIOS   E;4692438.35;410;408;5.98
2022;10;MED.PLANT.ESTAT -LEI 8336/2007;2182179.47;115;105;2.78
2022;10;PROF/EVENT/SUBST/AUTONOMOS   A;1671993.98;1437;1398;2.13
2022;10;ACUMULO DE GRATIF-ESTAT NOVOS;1222934.58;97;85;1.56
2022;10;MEDICOS PLANTONISTAS/ESTATUT.;1197619.62;50;48;1.53
2022;10;C.L.T./TEMP/HORISTA;1049146.69;78;77;1.34
2022;10;ESTAGIARIOS;988071.0399999999;956;941;1.26
2022;10;COMISSAO/EXTERNO             S;839564.06;71;66;1.07
2022;10;COMIS ESTAT/MENSAL(INCORPORAN);759058.21;65;57;0.97
2022;10;C.L.T./PROF/TMP/HORISTA;754910.71;142;142;0.96
2022;10;APOS/PENS-CLT/COMPL.INSS     P;707734.21;225;176;0.9
2022;10;C.L.T.                     C;675113.08;193;181;0.86
2022;10;COMIS.ESTAT/HOR(INCORP)NOVOS;524484.46;17;13;0.67
2022;10;APOS/INAT-CLT/COMPL.INSS     P;520215.21;108;94;0.66
2022;10;ACUMULO DE GRATTIFICACAO-ESTAT;484187.46;29;28;0.62
2022;10;C.L.T. MENSAL/TEMP;357564.7;145;145;0.46
2022;10;AGENTE POLITICO              S;298621.7;16;15;0.38
2022;10;COMIS.ESTAT/HOR(INCORPORANDO);202375.53;6;5;0.26
2022;10;AGENTE HONORIFICO;166434.97999999998;35;30;0.21
2022;10;ACUM FG-ANT.COM.EST.HR.C.ORIG;111868.39;7;5;0.14
2022;10;COMIS ESTAT MENS(CARGO ORIGEM);98464.16;6;6;0.13
2022;10;COMIS. ESTAT. INT. NOVO;71301.76;8;8;0.09
2022;10;AGENTE POLITICO RPPS NOVOS;58122.06;2;2;0.07
2022;10;PREFEITO                     S;29363.01;1;1;0.04
2022;10;VICE PREFEITO                S;17617.8;1;1;0.02
2022;10;COMIS ESTAT MENS(ORIGEM) NOVOS;7949.38;1;1;0.01
2022;11;PROF/HOR/ESTAT - LEI 8336/2007;21614827.97;1995;1966;20.93
2022;11;ESTATUTARIOS MEN/ LEI 8336/07;21381006.42;3542;3358;20.7
2022;11;ESTATUTARIO                  E;10624188.29;929;879;10.29
2022;11;ESTAT. HORISTAS/NOVOS 8336/07;8465009.12;844;729;8.2
2022;11;ESTATUTARIO/HORISTAS         E;8201623.83;524;466;7.94
2022;11;COMIS.ESTAT/MENSAL NOVOS (INC);7189786.21;556;481;6.96
