tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
Setor,D. Gerenc Adm E. Atos Ofic Ses,SES,Secretaria da Saúde,7,143680.52,20525.79,20525.79
Setor,Semepp - Gabinete,,,7,118946.5,16992.36,16992.36
Setor,D. Parcerias E. Plan,SECID,Secretaria da Cidadania,7,64878.23,9268.32,9268.32
Setor,Sequav - D. Gest Adm Op Tec,,,7,72159.68,10308.53,10308.53
Setor,Serh - D. Adm Rh Ses,,,7,60263.73,8609.1,8609.1
Setor,Serim - Gabinete,,,6,98971.25,16495.21,16495.21
Setor,D. Compras E. Contratos,SEDUC,Secretaria da Educação,6,53097.19,8849.53,8849.53
Setor,D. Adm Financas,SEDUC,Secretaria da Educação,6,76196.7,12699.45,12699.45
Setor,Setur - Gabinete,,,6,104325.13,17387.52,17387.52
Setor,D. Apoio Oper E. Contratos,SECID,Secretaria da Cidadania,6,55298.91,9216.49,9216.48
Setor,Separ - Gabinete,,,6,95222.18,15870.36,15870.36
Setor,D. Planej Cultural,SECULT,Secretaria de Cultura,5,80293.07,16058.61,16058.61
Setor,Segov - D. Expediente,,,5,84340.92,16868.18,16868.18
Setor,D. Vig Socioassist,SECID,Secretaria da Cidadania,5,75475.07,15095.01,15095.01
Setor,D. Orcamento da Ses,SES,Secretaria da Saúde,5,41942.27,8388.45,8388.45
Setor,Policlínica — Ônibus Azul,SES,Secretaria da Saúde,5,64776.96,12955.39,12955.39
Setor,D. Prest Ctas Conv,SEFAZ,Secretaria da Fazenda,5,65483.67,13096.73,13096.73
Setor,Sintea - Gabinete,,,5,77436.14,15487.23,15487.23
Setor,D. Apoio Ao SAMU,SES,Secretaria da Saúde,4,39655.03,9913.76,9913.76
Setor,Sead - D. Editais E. Minutas de Licitacao,,,4,37764.53,9441.13,9441.13
Setor,D. Apoio Adm E. Sup Operacoes,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,4,33043.56,8260.89,8260.89
Setor,Sede - D. Desenv. Empresarial,,,4,42946.92,10736.73,10736.73
Setor,D. Op Esp Intelig,SESU,Secretaria de Segurança Urbana,3,37840.99,12613.66,12613.66
Setor,Sehab - D. Plan Des Socio Hab,,,3,33471.51,11157.17,11157.17
