ano;mes;regime_grupo;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual
2026;5;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9948062.43;627;553;8.29
2026;5;Temporarios, estagiarios e eventuais;flexiveis;5935012.12;3197;3122;4.94
2026;5;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3170130.98;193;178;2.64
2026;5;Inativos e pensionistas;inativos;1125434.68;184;184;0.94
2026;6;Efetivos e empregados publicos (carreira);efetivos;103044691.26;10495;9697;83.52
2026;6;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9735634.22;634;558;7.89
2026;6;Temporarios, estagiarios e eventuais;flexiveis;6403902.52;3265;3237;5.19
2026;6;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3079201.26;184;176;2.5
2026;6;Inativos e pensionistas;inativos;1120747.43;183;183;0.91
2026;7;Efetivos e empregados publicos (carreira);efetivos;118069916.96;14968;9742;85.01
2026;7;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9735182.08;742;550;7.01
2026;7;Temporarios, estagiarios e eventuais;flexiveis;6328962.0;3268;3242;4.56
2026;7;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3647493.07;206;184;2.63
2026;7;Inativos e pensionistas;inativos;1104776.27;180;180;0.8
2026;8;Efetivos e empregados publicos (carreira);efetivos;106596223.55;10763;10105;85.42
2026;8;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9757394.47;639;563;7.82
2026;8;Temporarios, estagiarios e eventuais;flexiveis;4003173.29;2911;2885;3.21
2026;8;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3329784.06;193;184;2.67
2026;8;Inativos e pensionistas;inativos;1097987.4;179;179;0.88
