ano;mes;secretaria;efetivo
2023;1;Secretaria da Habitação e Regularização Fundiária;38
2023;1;Secretaria de Comunicação;24
2023;1;Secretaria de Mobilidade;16
2023;1;Secretaria de Relações Institucionais e Metropolitanas;11
2023;2;Secretaria da Educação;5463
2023;2;Secretaria da Saúde;2305
2023;2;Secretaria de Segurança Urbana;367
2023;2;Secretaria de Administração;263
2023;2;Secretaria da Cidadania;239
2023;2;Secretaria da Fazenda;203
2023;2;Secretaria de Planejamento e Desenvolvimento Urbano;180
2023;2;Chefia do Poder Executivo;170
2023;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;156
2023;2;Secretaria de Serviços Públicos e Obras;148
2023;2;Secretaria de Assuntos Jurídicos e Patrimônio;119
2023;2;Secretaria de Governo;115
2023;2;Secretaria de Recursos Humanos;99
2023;2;Secretaria do Meio Ambiente, Parques e Jardins;81
2023;2;Secretaria de Esportes e Lazer;76
2023;2;Secretaria de Gabinete Central;65
2023;2;Secretaria de Cultura;64
2023;2;Secretaria da Habitação e Regularização Fundiária;39
2023;2;Secretaria de Comunicação;28
2023;2;Secretaria de Mobilidade;16
2023;2;Secretaria de Relações Institucionais e Metropolitanas;9
2023;3;Secretaria da Educação;6979
2023;3;Secretaria da Saúde;2313
2023;3;Secretaria de Segurança Urbana;366
2023;3;Secretaria de Administração;259
2023;3;Secretaria da Cidadania;243
2023;3;Secretaria da Fazenda;206
2023;3;Secretaria de Planejamento e Desenvolvimento Urbano;182
2023;3;Chefia do Poder Executivo;169
2023;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;157
2023;3;Secretaria de Serviços Públicos e Obras;150
2023;3;Secretaria de Governo;119
2023;3;Secretaria de Assuntos Jurídicos e Patrimônio;118
2023;3;Secretaria de Recursos Humanos;101
2023;3;Secretaria do Meio Ambiente, Parques e Jardins;80
2023;3;Secretaria de Esportes e Lazer;78
2023;3;Secretaria de Gabinete Central;74
2023;3;Secretaria de Cultura;65
2023;3;Secretaria da Habitação e Regularização Fundiária;39
2023;3;Secretaria de Comunicação;28
2023;3;Secretaria de Mobilidade;22
2023;3;Secretaria de Relações Institucionais e Metropolitanas;10
2023;4;Secretaria da Educação;7619
2023;4;Secretaria da Saúde;2319
2023;4;Secretaria de Segurança Urbana;367
2023;4;Secretaria de Administração;263
2023;4;Secretaria da Cidadania;243
2023;4;Secretaria da Fazenda;207
2023;4;Secretaria de Planejamento e Desenvolvimento Urbano;184
2023;4;Chefia do Poder Executivo;168
2023;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;159
2023;4;Secretaria de Serviços Públicos e Obras;136
2023;4;Secretaria de Governo;119
2023;4;Secretaria de Assuntos Jurídicos e Patrimônio;115
2023;4;Secretaria de Recursos Humanos;102
2023;4;Secretaria do Meio Ambiente, Parques e Jardins;96
2023;4;Secretaria de Esportes e Lazer;80
2023;4;Secretaria de Gabinete Central;75
2023;4;Secretaria de Cultura;64
2023;4;Secretaria da Habitação e Regularização Fundiária;37
2023;4;Secretaria de Comunicação;28
2023;4;Secretaria de Mobilidade;25
2023;4;Secretaria de Relações Institucionais e Metropolitanas;10
2023;5;Secretaria da Educação;7555
2023;5;Secretaria da Saúde;2342
2023;5;Secretaria de Segurança Urbana;366
2023;5;Secretaria de Administração;272
2023;5;Secretaria da Cidadania;252
2023;5;Secretaria da Fazenda;205
2023;5;Secretaria de Planejamento e Desenvolvimento Urbano;185
2023;5;Chefia do Poder Executivo;168
2023;5;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;163
2023;5;Secretaria de Serviços Públicos e Obras;142
2023;5;Secretaria de Governo;131
2023;5;Secretaria de Assuntos Jurídicos e Patrimônio;122
