ano;mes;secretaria;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2026;5;Secretaria de Cultura;522426.27;373914.97;77;69;7571.4
2026;5;Secretaria da Habitação e Regularização Fundiária;439381.02;308409.05;41;37;11875.16
2026;5;Secretaria de Comunicação;412032.85000000003;309196.19;37;32;12876.03
2026;5;Secretaria de Relações do Trabalho e Qualificação Profissional;395903.8;269096.02;45;45;8797.86
2026;5;Secretaria de Empreendedorismo da Micro e Pequena Empresa;288453.58;191998.77;28;27;10683.47
2026;5;Secretaria da Mulher;267772.04000000004;188861.71000000002;15;13;20597.85
2026;5;Secretaria de Relações Institucionais e Metropolitanas;239721.58000000002;161525.3;14;12;19976.8
2026;5;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;213762.06;166600.71;20;15;14250.8
2026;5;Secretaria de Inclusão e Transtorno do Espectro Autista;178628.3;132218.43;14;12;14885.69
2026;5;Secretaria de Turismo;157588.29;113649.88;14;14;11256.31
2026;5;Chefia do Poder Executivo;157569.38;105618.85;8;8;19696.17
2026;6;Secretaria da Educação;58167803.57;37433996.03;8418;8178;7112.72
2026;6;Secretaria da Saúde;33870804.88;22183040.8;3210;2842;11917.95
2026;6;Secretaria de Segurança Urbana;5979397.19;4033605.56;614;584;10238.69
2026;6;Secretaria da Cidadania;2999186.14;2082391.04;328;284;10560.51
2026;6;Secretaria de Assuntos Jurídicos e Patrimônio;2710064.64;1861529.23;146;127;21339.09
2026;6;Secretaria da Fazenda;2125390.93;1486455.2;196;164;12959.7
2026;6;Secretaria de Planejamento e Desenvolvimento Urbano;1924925.07;1318080.73;203;180;10694.03
2026;6;Secretaria de Gabinete Central;1693489.6;1141065.7;168;149;11365.7
2026;6;Secretaria de Administração;1540721.39;1073861.56;177;149;10340.41
2026;6;Secretaria de Governo;1511796.64;1050035.17;134;122;12391.78
2026;6;Secretaria de Serviços Públicos e Obras;1484122.32;1018557.48;153;141;10525.69
2026;6;Secretaria do Meio Ambiente, Parques e Jardins;1411738.82;997718.37;141;124;11384.99
2026;6;Secretaria de Recursos Humanos;1406478.14;983086.1;153;135;10418.36
2026;6;Inativos e Pensionistas (Encargos);1120747.43;577695.21;183;183;6124.3
2026;6;Secretaria de Esportes e Lazer;985455.29;645613.89;94;89;11072.53
2026;6;Secretaria de Parcerias;638088.85;463694.36;65;56;11394.44
2026;6;Secretaria de Mobilidade;609563.31;404051.77;69;63;9675.61
2026;6;Secretaria de Cultura;599783.73;433397.95;78;70;8568.34
2026;6;Secretaria da Habitação e Regularização Fundiária;486956.58;350788.66;43;39;12486.07
2026;6;Secretaria de Comunicação;361814.6;264521.06;36;32;11306.71
2026;6;Secretaria de Relações do Trabalho e Qualificação Profissional;347798.19;222832.72;44;40;8694.95
2026;6;Secretaria de Empreendedorismo da Micro e Pequena Empresa;340511.44;242101.41999999998;30;28;12161.12
2026;6;Secretaria da Mulher;226589.94;175090.99;14;11;20599.09
2026;6;Chefia do Poder Executivo;189447.28;125889.1;9;9;21049.7
2026;6;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;182616.66;132498.29;17;16;11413.54
2026;6;Secretaria de Turismo;160433.11;115829.53;15;15;10695.54
2026;6;Secretaria de Relações Institucionais e Metropolitanas;157074.1;102326.06;11;10;15707.41
2026;6;Secretaria de Inclusão e Transtorno do Espectro Autista;151376.85;106331.93;12;11;13761.53
2026;7;Secretaria da Educação;66651078.86;39923112.14;11091;8166;8162.02
2026;7;Secretaria da Saúde;36762471.2;24010334.44;4114;2855;12876.52
2026;7;Secretaria de Segurança Urbana;7683726.05;4852064.13;848;586;13112.16
2026;7;Secretaria da Cidadania;3166848.87;2139563.96;425;288;10996.0
2026;7;Secretaria da Fazenda;2767288.84;1724692.43;304;165;16771.45
2026;7;Secretaria de Assuntos Jurídicos e Patrimônio;2660290.61;1723839.2;196;126;21113.42
2026;7;Secretaria de Planejamento e Desenvolvimento Urbano;2291203.64;1608531.54;292;186;12318.3
2026;7;Secretaria de Gabinete Central;1963509.97;1342717.9;231;152;12917.83
2026;7;Secretaria de Governo;1748586.73;1260785.54;161;123;14216.15
2026;7;Secretaria de Serviços Públicos e Obras;1574356.15;1080500.95;192;144;10933.03
2026;7;Secretaria de Administração;1565934.0;1053551.7;237;153;10234.86
2026;7;Secretaria de Recursos Humanos;1560661.82;1076689.7;217;135;11560.46
2026;7;Secretaria do Meio Ambiente, Parques e Jardins;1506712.3599999999;1021592.26;179;126;11958.03
2026;7;Secretaria de Esportes e Lazer;1151810.97;768174.3;141;93;12385.06
2026;7;Inativos e Pensionistas (Encargos);1104776.27;573432.37;180;180;6137.65
2026;7;Secretaria de Mobilidade;640281.65;410285.52;91;75;8537.09
2026;7;Secretaria de Parcerias;633234.1;429609.12;79;58;10917.83
2026;7;Secretaria da Habitação e Regularização Fundiária;577876.42;413747.08999999997;64;40;14446.91
2026;7;Secretaria de Cultura;569569.63;379760.13;93;69;8254.63
2026;7;Secretaria de Comunicação;436945.68;328835.91000000003;40;31;14095.02
2026;7;Secretaria de Relações do Trabalho e Qualificação Profissional;365058.96;228715.66;51;41;8903.88
2026;7;Secretaria de Empreendedorismo da Micro e Pequena Empresa;328726.69;225601.77;40;30;10957.56
2026;7;Secretaria de Inclusão e Transtorno do Espectro Autista;227152.19;180671.09;18;12;18929.35
2026;7;Chefia do Poder Executivo;208250.38;142920.4;12;9;23138.93
2026;7;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;196982.86;142553.72999999998;22;18;10943.49
2026;7;Secretaria da Mulher;189759.76;134984.97;14;11;17250.89
2026;7;Secretaria de Relações Institucionais e Metropolitanas;179675.09;137119.82;14;10;17967.51
2026;7;Secretaria de Turismo;173560.63;125750.23999999999;18;16;10847.54
2026;8;Secretaria da Educação;58336717.14;37193462.12;8324;8154;7154.37
2026;8;Secretaria da Saúde;34507539.16;22889008.69;3188;2878;11990.11
2026;8;Secretaria de Segurança Urbana;6239013.66;4132043.83;623;580;10756.92
2026;8;Secretaria da Cidadania;3074167.49;2103498.35;337;298;10316.0
2026;8;Secretaria de Assuntos Jurídicos e Patrimônio;2513724.96;1615733.08;148;128;19638.48
2026;8;Secretaria da Fazenda;2204462.34;1500809.32;186;164;13441.84
2026;8;Secretaria de Planejamento e Desenvolvimento Urbano;1792840.78;1185693.66;197;183;9796.94
2026;8;Secretaria de Gabinete Central;1779903.19;1213819.77;191;160;11124.39
2026;8;Secretaria de Governo;1724632.07;1196273.15;142;126;13687.56
2026;8;Secretaria de Administração;1557756.52;1099381.09;169;150;10385.04
2026;8;Secretaria de Serviços Públicos e Obras;1424701.09;964360.01;154;142;10033.11
2026;8;Secretaria do Meio Ambiente, Parques e Jardins;1376466.89;926609.41;144;129;10670.29
2026;8;Secretaria de Recursos Humanos;1367845.75;956852.28;144;130;10521.89
2026;8;Inativos e Pensionistas (Encargos);1097987.4;569198.11;179;179;6134.01
2026;8;Secretaria de Esportes e Lazer;1035656.43;697161.98;107;101;10254.02
2026;8;Secretaria de Mobilidade;912183.76;698296.37;80;75;12162.45
2026;8;Secretaria de Parcerias;624955.2000000001;449198.11;65;55;11362.82
2026;8;Secretaria de Cultura;593271.14;422201.29;80;72;8239.88
2026;8;Secretaria da Habitação e Regularização Fundiária;467092.28;332962.39;42;38;12291.9
2026;8;Secretaria de Relações do Trabalho e Qualificação Profissional;421830.17;303036.54;42;39;10816.16
2026;8;Secretaria de Comunicação;404743.12;297897.31;36;33;12264.94
2026;8;Secretaria de Empreendedorismo da Micro e Pequena Empresa;285887.79;188098.52;29;27;10588.44
2026;8;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;215435.44;156801.52;19;18;11968.64
2026;8;Chefia do Poder Executivo;183051.72;123637.94;11;9;20339.08
2026;8;Secretaria da Mulher;172978.62;117907.88;11;11;15725.33
2026;8;Secretaria de Turismo;163429.03;118071.36;16;16;10214.31
2026;8;Secretaria de Relações Institucionais e Metropolitanas;163347.6;125550.09;9;9;18149.73
2026;8;Secretaria de Inclusão e Transtorno do Espectro Autista;142942.03;96945.78;12;12;11911.84
